customer_id,booking_id,customer_name,country,booking_date,check_in,check_out,nights,season,room_type,room_number,view,balcony_type,room_amenities,nightly_rate_eur,adults,children,booking_channel,payment_method,booking_status,total_revenue_eur
CUST-00001,BOOK-00001,Matti Virtanen,Netherlands,2025-03-03,2025-07-28,2025-08-04,7,Summer,Deluxe Room,DR-02,Slope view,French balcony,Bathtub and sauna; French balcony or balcony,200,2,0,Direct website,Debit card,Completed,1400
CUST-00002,BOOK-00002,Elsa Schmidt,Poland,2025-06-10,2025-08-05,2025-08-10,5,Summer,Sky Suite,SS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,298,3,0,Phone,Online payment,Completed,1490
CUST-00003,BOOK-00003,Emilia Koskinen,Finland,2025-08-12,2026-01-11,2026-01-18,7,Winter,Standard View Room,SV-36,Forest view,French balcony,French balcony or balcony,120,2,0,Phone,Credit card,Completed,840
CUST-00004,BOOK-00004,Adam Lehtonen,Italy,2025-04-06,2025-09-26,2025-09-28,2,Shoulder,Standard Room,SR-44,Forest view,Balcony,French balcony or balcony,100,2,0,Corporate,Invoice,Completed,200
CUST-00005,BOOK-00005,Sofia Dubois,Poland,2025-07-03,2025-10-03,2025-10-09,6,Shoulder,Superior Family Room,SF-06,Slope view,Balcony,French balcony or balcony,170,2,2,Direct website,Credit card,Completed,1020
CUST-00006,BOOK-00006,Matti Järvinen,France,2025-02-13,2025-07-02,2025-07-05,3,Summer,Standard Room,SR-22,Slope view,Balcony,French balcony or balcony,95,2,0,Travel agency,Debit card,Completed,285
CUST-00007,BOOK-00007,Leo Martin,Finland,2025-06-14,2025-07-09,2025-07-13,4,Summer,Deluxe Room,DR-05,Forest view,French balcony,Bathtub and sauna; French balcony or balcony,200,2,0,Booking.com,Invoice,Completed,800
CUST-00008,BOOK-00008,Alma Salminen,Poland,2025-01-02,2025-07-01,2025-07-03,2,Summer,Standard Room,SR-09,Forest view,Balcony,French balcony or balcony,95,2,0,Direct website,Credit card,Completed,190
CUST-00009,BOOK-00009,Emma Virtanen,Norway,2025-09-20,2025-11-08,2025-11-10,2,Winter,Standard View Room,SV-34,Forest view,French balcony,French balcony or balcony,120,2,1,Booking.com,Invoice,No-show,0
CUST-00010,BOOK-00010,Ella Wilson,Norway,2025-04-14,2025-08-01,2025-08-08,7,Summer,Standard View Room,SV-32,Forest view,Balcony,French balcony or balcony,120,4,0,Phone,Online payment,No-show,0
CUST-00011,BOOK-00011,Alma Koskinen,Norway,2025-09-27,2025-10-01,2025-10-04,3,Shoulder,Standard Room,SR-35,Forest view,Balcony,French balcony or balcony,100,2,0,Direct website,Credit card,Completed,300
CUST-00012,BOOK-00012,Emilia Novak,Netherlands,2025-11-27,2026-03-03,2026-03-06,3,Winter,Standard Room,SR-38,Slope view,Balcony,French balcony or balcony,100,2,1,Phone,Online payment,Completed,300
CUST-00013,BOOK-00013,Elina Salminen,Denmark,2026-03-05,2026-04-10,2026-04-20,10,Winter,Superior Family Room,SF-09,Slope view,Balcony,French balcony or balcony,170,2,0,Corporate,Debit card,Completed,1700
CUST-00014,BOOK-00014,Linnea Smith,Canada,2025-08-13,2025-10-18,2025-10-21,3,Shoulder,Standard Room,SR-23,Forest view,French balcony,French balcony or balcony,100,2,0,Expedia,Credit card,Completed,300
CUST-00015,BOOK-00015,Theo Brown,Poland,2025-01-08,2025-06-02,2025-06-05,3,Summer,Standard Room,SR-41,Slope view,French balcony,French balcony or balcony,95,2,2,Phone,Debit card,Completed,285
CUST-00016,BOOK-00016,Isla Laine,Sweden,2025-12-17,2026-03-07,2026-03-08,1,Winter,Standard View Room,SV-26,Slope view,Balcony,French balcony or balcony,120,4,1,Direct website,Online payment,Completed,120
CUST-00017,BOOK-00017,Alexander Wilson,Germany,2025-07-16,2025-09-16,2025-09-21,5,Shoulder,Superior Room,SU-03,Forest view,French balcony,French balcony or balcony,140,4,1,Travel agency,Credit card,No-show,0
CUST-00018,BOOK-00018,Matti Saarinen,United Kingdom,2025-08-02,2025-08-31,2025-09-05,5,Summer,Standard Room,SR-34,Slope view,Balcony,French balcony or balcony,95,3,2,Booking.com,Debit card,Cancelled,0
CUST-00019,BOOK-00019,Nora Korhonen,France,2025-10-10,2026-01-22,2026-01-25,3,Winter,Superior Family Room,SF-10,Forest view,Balcony,French balcony or balcony,170,2,0,Expedia,Online payment,Completed,510
CUST-00020,BOOK-00020,Mikael Petrov,Finland,2026-03-25,2026-04-25,2026-04-29,4,Winter,Superior Room,SU-18,Slope view,Balcony,French balcony or balcony,140,2,2,Expedia,Credit card,No-show,0
CUST-00021,BOOK-00021,Isla Wilson,Denmark,2025-04-17,2025-07-26,2025-07-30,4,Summer,Standard Room,SR-30,Slope view,French balcony,French balcony or balcony,95,2,1,Direct website,Debit card,Completed,380
CUST-00022,BOOK-00022,Anna Dubois,Denmark,2025-09-17,2025-12-04,2025-12-08,4,Winter,Sky Suite,SS-01,Slope view,Balcony,Igloo; bathtub; sauna; French balcony or balcony,298,3,0,Phone,Online payment,Completed,1192
CUST-00023,BOOK-00023,Liam Wilson,Spain,2025-11-26,2026-03-11,2026-03-13,2,Winter,Standard View Room,SV-21,Forest view,French balcony,French balcony or balcony,120,2,0,Corporate,Online payment,Cancelled,0
CUST-00024,BOOK-00024,Emma Dubois,Norway,2025-11-12,2026-01-25,2026-01-29,4,Winter,Superior Room,SU-02,Slope view,Balcony,French balcony or balcony,140,2,2,Booking.com,Online payment,Cancelled,0
CUST-00025,BOOK-00025,Hugo Wilson,Norway,2025-05-29,2025-09-24,2025-09-30,6,Shoulder,Standard Room,SR-10,Forest view,Balcony,French balcony or balcony,100,4,0,Phone,Invoice,Completed,600
CUST-00026,BOOK-00026,Sofia Silva,Poland,2025-12-13,2026-02-09,2026-02-12,3,Winter,Standard Room,SR-17,Forest view,French balcony,French balcony or balcony,100,3,1,Travel agency,Credit card,Completed,300
CUST-00027,BOOK-00027,Alma Dubois,Estonia,2025-11-18,2026-03-13,2026-03-16,3,Winter,Deluxe Room,DR-04,Forest view,Balcony,Bathtub and sauna; French balcony or balcony,200,3,0,Booking.com,Invoice,Completed,600
CUST-00028,BOOK-00028,Elsa Karlsson,Netherlands,2025-11-06,2026-01-17,2026-01-20,3,Winter,Standard Room,SR-31,Forest view,Balcony,French balcony or balcony,100,1,0,Expedia,Online payment,Completed,300
CUST-00029,BOOK-00029,Olivia Rossi,Germany,2025-09-16,2025-11-11,2025-11-18,7,Winter,Standard Room,SR-06,Slope view,French balcony,French balcony or balcony,100,2,0,Travel agency,Invoice,Completed,700
CUST-00030,BOOK-00030,Elias Schmidt,Austria,2025-02-28,2025-07-02,2025-07-05,3,Summer,Standard View Room,SV-17,Slope view,French balcony,French balcony or balcony,120,4,0,Travel agency,Invoice,No-show,0
CUST-00031,BOOK-00031,Julia Lehtonen,Italy,2025-11-10,2026-03-03,2026-03-08,5,Winter,Standard View Room,SV-08,Forest view,Balcony,French balcony or balcony,120,1,0,Phone,Invoice,Completed,600
CUST-00032,BOOK-00032,Elias Kowalski,Austria,2025-03-24,2025-08-24,2025-08-30,6,Summer,Sky Suite,SS-02,Forest view,French balcony,Igloo; bathtub; sauna; French balcony or balcony,298,2,0,Travel agency,Debit card,No-show,0
CUST-00033,BOOK-00033,Mikael Silva,Austria,2025-04-14,2025-06-26,2025-06-29,3,Summer,Standard Room,SR-33,Forest view,Balcony,French balcony or balcony,95,2,0,Direct website,Credit card,Completed,285
CUST-00034,BOOK-00034,Elias Petrov,Netherlands,2025-10-05,2025-11-27,2025-11-30,3,Winter,Standard Room,SR-17,Forest view,French balcony,French balcony or balcony,100,2,0,Travel agency,Credit card,Completed,300
CUST-00035,BOOK-00035,Emma Wilson,Denmark,2026-02-01,2026-03-16,2026-03-23,7,Winter,Standard View Room,SV-18,Slope view,Balcony,French balcony or balcony,120,2,0,Expedia,Invoice,Completed,840
CUST-00036,BOOK-00036,Sofia Rossi,Spain,2025-06-27,2025-12-21,2025-12-28,7,Winter,Standard Room,SR-21,Slope view,French balcony,French balcony or balcony,100,3,0,Direct website,Online payment,Completed,700
CUST-00037,BOOK-00037,Aino Schmidt,Poland,2025-10-24,2026-02-28,2026-03-04,4,Winter,Standard View Room,SV-36,Forest view,French balcony,French balcony or balcony,120,2,0,Travel agency,Debit card,Completed,480
CUST-00038,BOOK-00038,Oscar Silva,Canada,2025-09-10,2026-01-09,2026-01-11,2,Winter,Standard View Room,SV-36,Forest view,Balcony,French balcony or balcony,120,3,0,Expedia,Debit card,Completed,240
CUST-00039,BOOK-00039,Felix Wilson,Austria,2025-04-18,2025-07-15,2025-07-18,3,Summer,Standard View Room,SV-12,Slope view,French balcony,French balcony or balcony,120,2,0,Travel agency,Debit card,Cancelled,0
